Strategy,Timeframe,avg_ret,avg_sh,avg_mdd,avg_wr,avg_pf,tickers
FVG+OB,4h,205.93214285714285,0.26003571428571426,-12.431357142857143,60.15,1.8694285714285714,14
FVG+OB★,4h,90.2898888888889,0.36706666666666665,-7.397000000000001,61.977777777777774,2.385,9
S19_Monday,4h,75.43992857142858,0.1422142857142857,-27.675571428571427,47.285714285714285,1.4885714285714287,14
S24_CHoCH,4h,67.00292857142857,0.1613357142857143,-37.84771428571428,54.30714285714286,1.6635714285714285,14
S20_InsideBar,4h,55.42614285714286,0.10610714285714286,-33.4155,53.278571428571425,1.393,14
S17_FVG,4h,54.468,0.14691428571428572,-30.446571428571428,48.91428571428571,1.553857142857143,14
S05_HullMA,4h,52.0365,0.14602857142857142,-26.41335714285714,50.16428571428571,1.5652142857142857,14
S09_MACD,4h,44.8355,0.13499999999999998,-31.129142857142856,45.42142857142857,1.5747857142857142,14
S10_MACDHist,4h,44.8355,0.13499999999999998,-31.129142857142856,45.42142857142857,1.5747857142857142,14
S07_RSI_Trend,4h,35.985214285714285,0.09562142857142857,-31.20492857142857,35.628571428571426,1.4095,14
S11_BB_Break,4h,34.47057142857143,0.17873571428571428,-13.362214285714286,49.207142857142856,1.9134285714285715,14
FVG+OB,5m,34.13328571428571,0.1259357142857143,-10.891071428571427,48.378571428571426,1.4402857142857142,14
S21_Engulfing,4h,33.733785714285716,0.13708571428571428,-23.62692857142857,53.864285714285714,2.2217857142857143,14
FVG+OB,15m,33.727357142857144,0.15956428571428574,-7.074285714285715,53.57857142857143,1.5285,14
S25_PinBar,4h,32.669714285714285,0.13092142857142858,-31.011285714285716,54.34285714285714,1.6169999999999998,14
S22_VolBreak,4h,27.776928571428574,0.1924142857142857,-10.72942857142857,54.24285714285714,1.9482857142857142,14
S09_MACD,5m,26.945857142857143,0.09692857142857143,-11.46492857142857,39.40714285714286,1.4102857142857144,14
S10_MACDHist,5m,26.945857142857143,0.09692857142857143,-11.46492857142857,39.40714285714286,1.4102857142857144,14
S23_EMA_Ribbon,4h,26.828285714285716,0.19893571428571427,-17.328357142857143,50.707142857142856,2.0205714285714285,14
S05_HullMA,5m,23.143,0.09486428571428572,-14.629714285714286,45.43571428571429,1.4075,14
S06_Ichimoku,4h,22.273071428571427,0.12401428571428572,-20.84857142857143,40.07857142857143,1.612142857142857,14
S13_ATR_Break,4h,21.876571428571427,0.1638357142857143,-10.560142857142855,54.021428571428565,2.1332142857142857,14
S16_SMA_Rev,4h,21.709642857142857,0.2417214285714286,-23.079071428571428,61.55714285714286,2.938642857142857,14
S15_ZScore,4h,21.11435714285714,0.13407857142857144,-30.921071428571427,61.43571428571429,1.5878571428571429,14
S07_RSI_Trend,5m,20.7715,0.05657142857142857,-11.733857142857143,25.907142857142855,1.2997142857142858,14
S17_FVG,5m,18.566928571428573,0.0683,-13.398714285714286,39.16428571428571,1.3017857142857143,14
S01_EMA9_21,4h,17.377000000000002,0.09852857142857142,-25.87964285714286,45.33571428571429,1.413142857142857,14
FVG+OB★,5m,16.429214285714284,0.2274857142857143,-3.3799285714285716,52.92142857142857,1.8312857142857144,14
S01_EMA9_21,5m,15.441428571428572,0.07091428571428572,-11.862357142857144,39.892857142857146,1.3598571428571429,14
S05_HullMA,15m,15.300571428571429,0.11547857142857143,-9.606642857142857,48.4,1.5504285714285715,14
FVG+OB★,15m,15.1405,0.30777857142857146,-3.328,57.285714285714285,2.3669285714285713,14
S02_EMA20_50,4h,14.197428571428572,0.20854285714285714,-19.69464285714286,54.042857142857144,2.7402857142857147,14
S08_RSI_Rev,4h,13.313142857142855,0.23792857142857143,-19.72,56.57142857142857,3.2925,14
S24_CHoCH,5m,11.529571428571428,0.044828571428571426,-14.803285714285716,48.785714285714285,1.1741428571428572,14
S23_EMA_Ribbon,5m,11.166,0.10294285714285714,-7.7711428571428565,42.92857142857143,1.4848571428571429,14
S06_Ichimoku,5m,11.149857142857142,0.05892142857142857,-9.830857142857143,32.392857142857146,1.2933571428571429,14
S14_Donchian,5m,10.995928571428573,0.0826,-9.01692857142857,46.69285714285714,1.4185,14
S10_MACDHist,15m,10.044928571428573,0.08301428571428572,-10.241,43.528571428571425,1.414357142857143,14
S09_MACD,15m,10.044928571428573,0.08301428571428572,-10.241,43.528571428571425,1.414357142857143,14
S11_BB_Break,5m,9.223214285714286,0.06960000000000001,-5.898571428571429,40.16428571428571,1.4705,14
S06_Ichimoku,15m,6.776214285714286,0.15562142857142858,-6.3795,41.94285714285714,2.0596428571428573,14
S22_VolBreak,5m,6.464214285714285,0.05050714285714286,-6.157571428571429,46.56428571428571,1.3395714285714286,14
S13_ATR_Break,5m,6.159071428571429,0.03789285714285714,-5.388571428571429,47.614285714285714,1.241642857142857,14
S25_PinBar,15m,5.934285714285714,0.09167142857142858,-7.588,53.30714285714286,1.5115714285714286,14
S24_CHoCH,15m,5.7519285714285715,0.05899285714285714,-10.864857142857144,48.80714285714286,1.2452142857142856,14
S14_Donchian,4h,5.628071428571428,0.06142142857142857,-26.332285714285714,49.9,1.3690714285714285,14
S02_EMA20_50,5m,5.509857142857142,0.06342857142857143,-9.298428571428571,45.58571428571429,1.3799285714285714,14
S07_RSI_Trend,15m,5.388928571428571,0.031171428571428572,-13.821857142857143,33.042857142857144,1.1387857142857143,14
FVG+OB,1m+4h,5.321857142857143,0.1427,-1.5794285714285714,43.864285714285714,1.5132142857142856,14
S12_BB_Rev,4h,4.610142857142857,0.11917857142857143,-25.570071428571428,56.035714285714285,1.669857142857143,14
