Ticker,Name,Market,Timeframe,Strategy,Trades,WinRate%,TotalRet%,AvgRet%,ProfitFactor,MDD%,Sharpe,_tr
TSLA,테슬라,US,1m+4h,FVG+OB,58,56.9,7.919,0.1365,2.696,-0.634,0.4109,7.919
TSLA,테슬라,US,1m+4h,S01_EMA9_21,63,20.6,-4.292,-0.0681,0.658,-5.154,-0.1324,-4.292
TSLA,테슬라,US,1m+4h,S02_EMA20_50,29,27.6,-2.708,-0.0934,0.649,-3.684,-0.1536,-2.708
TSLA,테슬라,US,1m+4h,S03_GoldenCross,11,27.3,-2.405,-0.2186,0.25,-1.737,-0.4097,-2.405
TSLA,테슬라,US,1m+4h,S04_SuperTrend,2,0.0,-3.173,-1.5865,0.0,-2.433,-1.8738,-3.173
TSLA,테슬라,US,1m+4h,S05_HullMA,74,36.5,-4.488,-0.0606,0.731,-9.111,-0.0875,-4.488
TSLA,테슬라,US,1m+4h,S06_Ichimoku,67,23.9,-2.864,-0.0427,0.652,-5.386,-0.1214,-2.864
TSLA,테슬라,US,1m+4h,S07_RSI_Trend,147,23.1,-2.578,-0.0175,0.777,-5.681,-0.0576,-2.578
TSLA,테슬라,US,1m+4h,S08_RSI_Rev,18,61.1,-0.385,-0.0214,0.926,-2.178,-0.0291,-0.385
TSLA,테슬라,US,1m+4h,S09_MACD,90,31.1,-3.298,-0.0366,0.77,-5.007,-0.0808,-3.298
TSLA,테슬라,US,1m+4h,S10_MACDHist,90,31.1,-3.298,-0.0366,0.77,-5.007,-0.0808,-3.298
TSLA,테슬라,US,1m+4h,S11_BB_Break,52,28.8,-2.166,-0.0416,0.555,-3.776,-0.1715,-2.166
TSLA,테슬라,US,1m+4h,S12_BB_Rev,23,52.2,-1.646,-0.0716,0.731,-2.453,-0.1163,-1.646
TSLA,테슬라,US,1m+4h,S13_ATR_Break,30,43.3,-0.899,-0.03,0.604,-1.351,-0.1537,-0.899
TSLA,테슬라,US,1m+4h,S14_Donchian,27,29.6,-3.619,-0.134,0.54,-4.833,-0.2485,-3.619
TSLA,테슬라,US,1m+4h,S15_ZScore,63,66.7,-2.853,-0.0453,0.742,-5.327,-0.0837,-2.853
TSLA,테슬라,US,1m+4h,S17_FVG,92,31.5,-7.019,-0.0763,0.593,-9.788,-0.131,-7.019
TSLA,테슬라,US,1m+4h,S19_Monday,4,0.0,-0.858,-0.2146,0.0,-0.537,-3.1252,-0.858
